size     python 	 numpy  	 rust   	 rust-multicore
1        0.0000 	 0.0001 	 0.0000 	 0.0006
3        0.0000 	 0.0000 	 0.0000 	 0.0000
10       0.0001 	 0.0001 	 0.0000 	 0.0001
30       0.0005 	 0.0001 	 0.0000 	 0.0002
100      0.0055 	 0.0001 	 0.0001 	 0.0003
300      0.0494 	 0.0011 	 0.0003 	 0.0005
1000     0.5390 	 0.0094 	 0.0025 	 0.0012
3000     4.9078 	 0.0780 	 0.0219 	 0.0036
10000    54.393 	 0.7397 	 0.2429 	 0.0198
30000    0.0000 	 6.8511 	 2.2306 	 0.1260
100000   0.0000 	 69.227 	 24.492 	 1.1507
300000   0.0000 	 0.0000 	 216.04 	 10.200
